Municipios;País de nacimiento;Sexo;Periodo;Total
51001 Ceuta;Extranjero;Total;1 de enero de 2020;10.936
51001 Ceuta;Extranjero;Total;1 de enero de 2019;10.930
51001 Ceuta;Extranjero;Total;1 de enero de 2018;11.046
51001 Ceuta;Extranjero;Total;1 de enero de 2017;10.930
51001 Ceuta;Extranjero;Total;1 de enero de 2016;10.553
51001 Ceuta;Extranjero;Total;1 de enero de 2015;10.177
51001 Ceuta;Extranjero;Hombres;1 de enero de 2020;5.421
51001 Ceuta;Extranjero;Hombres;1 de enero de 2019;5.443
51001 Ceuta;Extranjero;Hombres;1 de enero de 2018;5.544
51001 Ceuta;Extranjero;Hombres;1 de enero de 2017;5.470
51001 Ceuta;Extranjero;Hombres;1 de enero de 2016;5.267
51001 Ceuta;Extranjero;Hombres;1 de enero de 2015;5.068
51001 Ceuta;Extranjero;Mujeres;1 de enero de 2020;5.515
51001 Ceuta;Extranjero;Mujeres;1 de enero de 2019;5.487
51001 Ceuta;Extranjero;Mujeres;1 de enero de 2018;5.502
51001 Ceuta;Extranjero;Mujeres;1 de enero de 2017;5.460
51001 Ceuta;Extranjero;Mujeres;1 de enero de 2016;5.286
51001 Ceuta;Extranjero;Mujeres;1 de enero de 2015;5.109
51001 Ceuta;Europa (sin España);Total;1 de enero de 2020;588
51001 Ceuta;Europa (sin España);Total;1 de enero de 2019;574
51001 Ceuta;Europa (sin España);Total;1 de enero de 2018;579
51001 Ceuta;Europa (sin España);Total;1 de enero de 2017;588
51001 Ceuta;Europa (sin España);Total;1 de enero de 2016;587
51001 Ceuta;Europa (sin España);Total;1 de enero de 2015;573
51001 Ceuta;Europa (sin España);Hombres;1 de enero de 2020;287
51001 Ceuta;Europa (sin España);Hombres;1 de enero de 2019;275
51001 Ceuta;Europa (sin España);Hombres;1 de enero de 2018;282
51001 Ceuta;Europa (sin España);Hombres;1 de enero de 2017;284
51001 Ceuta;Europa (sin España);Hombres;1 de enero de 2016;292
51001 Ceuta;Europa (sin España);Hombres;1 de enero de 2015;295
51001 Ceuta;Europa (sin España);Mujeres;1 de enero de 2020;301
51001 Ceuta;Europa (sin España);Mujeres;1 de enero de 2019;299
51001 Ceuta;Europa (sin España);Mujeres;1 de enero de 2018;297
51001 Ceuta;Europa (sin España);Mujeres;1 de enero de 2017;304
51001 Ceuta;Europa (sin España);Mujeres;1 de enero de 2016;295
51001 Ceuta;Europa (sin España);Mujeres;1 de enero de 2015;278
51001 Ceuta;Alemania;Total;1 de enero de 2020;66
51001 Ceuta;Alemania;Total;1 de enero de 2019;67
51001 Ceuta;Alemania;Total;1 de enero de 2018;68
51001 Ceuta;Alemania;Total;1 de enero de 2017;67
51001 Ceuta;Alemania;Total;1 de enero de 2016;74
51001 Ceuta;Alemania;Total;1 de enero de 2015;76
51001 Ceuta;Alemania;Hombres;1 de enero de 2020;39
51001 Ceuta;Alemania;Hombres;1 de enero de 2019;38
51001 Ceuta;Alemania;Hombres;1 de enero de 2018;43
51001 Ceuta;Alemania;Hombres;1 de enero de 2017;41
51001 Ceuta;Alemania;Hombres;1 de enero de 2016;46
51001 Ceuta;Alemania;Hombres;1 de enero de 2015;48
51001 Ceuta;Alemania;Mujeres;1 de enero de 2020;27
51001 Ceuta;Alemania;Mujeres;1 de enero de 2019;29
51001 Ceuta;Alemania;Mujeres;1 de enero de 2018;25
51001 Ceuta;Alemania;Mujeres;1 de enero de 2017;26
51001 Ceuta;Alemania;Mujeres;1 de enero de 2016;28
51001 Ceuta;Alemania;Mujeres;1 de enero de 2015;28
51001 Ceuta;Bulgaria;Total;1 de enero de 2020;3
51001 Ceuta;Bulgaria;Total;1 de enero de 2019;6
51001 Ceuta;Bulgaria;Total;1 de enero de 2018;5
51001 Ceuta;Bulgaria;Total;1 de enero de 2017;5
51001 Ceuta;Bulgaria;Total;1 de enero de 2016;6
51001 Ceuta;Bulgaria;Total;1 de enero de 2015;5
51001 Ceuta;Bulgaria;Hombres;1 de enero de 2020;0
51001 Ceuta;Bulgaria;Hombres;1 de enero de 2019;0
51001 Ceuta;Bulgaria;Hombres;1 de enero de 2018;1
51001 Ceuta;Bulgaria;Hombres;1 de enero de 2017;2
51001 Ceuta;Bulgaria;Hombres;1 de enero de 2016;1
51001 Ceuta;Bulgaria;Hombres;1 de enero de 2015;0
51001 Ceuta;Bulgaria;Mujeres;1 de enero de 2020;3
51001 Ceuta;Bulgaria;Mujeres;1 de enero de 2019;6
51001 Ceuta;Bulgaria;Mujeres;1 de enero de 2018;4
51001 Ceuta;Bulgaria;Mujeres;1 de enero de 2017;3
51001 Ceuta;Bulgaria;Mujeres;1 de enero de 2016;5
51001 Ceuta;Bulgaria;Mujeres;1 de enero de 2015;5
51001 Ceuta;Francia;Total;1 de enero de 2020;185
51001 Ceuta;Francia;Total;1 de enero de 2019;184
51001 Ceuta;Francia;Total;1 de enero de 2018;190
51001 Ceuta;Francia;Total;1 de enero de 2017;187
51001 Ceuta;Francia;Total;1 de enero de 2016;182
51001 Ceuta;Francia;Total;1 de enero de 2015;180
51001 Ceuta;Francia;Hombres;1 de enero de 2020;88
51001 Ceuta;Francia;Hombres;1 de enero de 2019;84
51001 Ceuta;Francia;Hombres;1 de enero de 2018;88
51001 Ceuta;Francia;Hombres;1 de enero de 2017;86
51001 Ceuta;Francia;Hombres;1 de enero de 2016;83
51001 Ceuta;Francia;Hombres;1 de enero de 2015;83
51001 Ceuta;Francia;Mujeres;1 de enero de 2020;97
51001 Ceuta;Francia;Mujeres;1 de enero de 2019;100
51001 Ceuta;Francia;Mujeres;1 de enero de 2018;102
51001 Ceuta;Francia;Mujeres;1 de enero de 2017;101
51001 Ceuta;Francia;Mujeres;1 de enero de 2016;99
51001 Ceuta;Francia;Mujeres;1 de enero de 2015;97
51001 Ceuta;Italia;Total;1 de enero de 2020;29
51001 Ceuta;Italia;Total;1 de enero de 2019;25
51001 Ceuta;Italia;Total;1 de enero de 2018;26
51001 Ceuta;Italia;Total;1 de enero de 2017;25
51001 Ceuta;Italia;Total;1 de enero de 2016;26
51001 Ceuta;Italia;Total;1 de enero de 2015;24
51001 Ceuta;Italia;Hombres;1 de enero de 2020;17
51001 Ceuta;Italia;Hombres;1 de enero de 2019;15
51001 Ceuta;Italia;Hombres;1 de enero de 2018;18
51001 Ceuta;Italia;Hombres;1 de enero de 2017;16
51001 Ceuta;Italia;Hombres;1 de enero de 2016;18
51001 Ceuta;Italia;Hombres;1 de enero de 2015;18
51001 Ceuta;Italia;Mujeres;1 de enero de 2020;12
51001 Ceuta;Italia;Mujeres;1 de enero de 2019;10
51001 Ceuta;Italia;Mujeres;1 de enero de 2018;8
51001 Ceuta;Italia;Mujeres;1 de enero de 2017;9
51001 Ceuta;Italia;Mujeres;1 de enero de 2016;8
51001 Ceuta;Italia;Mujeres;1 de enero de 2015;6
51001 Ceuta;Polonia;Total;1 de enero de 2020;11
51001 Ceuta;Polonia;Total;1 de enero de 2019;10
51001 Ceuta;Polonia;Total;1 de enero de 2018;10
51001 Ceuta;Polonia;Total;1 de enero de 2017;9
51001 Ceuta;Polonia;Total;1 de enero de 2016;9
51001 Ceuta;Polonia;Total;1 de enero de 2015;2
51001 Ceuta;Polonia;Hombres;1 de enero de 2020;4
51001 Ceuta;Polonia;Hombres;1 de enero de 2019;4
51001 Ceuta;Polonia;Hombres;1 de enero de 2018;5
51001 Ceuta;Polonia;Hombres;1 de enero de 2017;4
51001 Ceuta;Polonia;Hombres;1 de enero de 2016;3
51001 Ceuta;Polonia;Hombres;1 de enero de 2015;0
51001 Ceuta;Polonia;Mujeres;1 de enero de 2020;7
51001 Ceuta;Polonia;Mujeres;1 de enero de 2019;6
