Municipios;País de nacimiento;Sexo;Periodo;Total
52001 Melilla;Extranjero;Total;1 de enero de 2020;20.354
52001 Melilla;Extranjero;Total;1 de enero de 2019;20.108
52001 Melilla;Extranjero;Total;1 de enero de 2018;20.439
52001 Melilla;Extranjero;Total;1 de enero de 2017;20.501
52001 Melilla;Extranjero;Total;1 de enero de 2016;20.642
52001 Melilla;Extranjero;Total;1 de enero de 2015;20.544
52001 Melilla;Extranjero;Hombres;1 de enero de 2020;9.871
52001 Melilla;Extranjero;Hombres;1 de enero de 2019;9.719
52001 Melilla;Extranjero;Hombres;1 de enero de 2018;9.908
52001 Melilla;Extranjero;Hombres;1 de enero de 2017;9.947
52001 Melilla;Extranjero;Hombres;1 de enero de 2016;10.094
52001 Melilla;Extranjero;Hombres;1 de enero de 2015;10.049
52001 Melilla;Extranjero;Mujeres;1 de enero de 2020;10.483
52001 Melilla;Extranjero;Mujeres;1 de enero de 2019;10.389
52001 Melilla;Extranjero;Mujeres;1 de enero de 2018;10.531
52001 Melilla;Extranjero;Mujeres;1 de enero de 2017;10.554
52001 Melilla;Extranjero;Mujeres;1 de enero de 2016;10.548
52001 Melilla;Extranjero;Mujeres;1 de enero de 2015;10.495
52001 Melilla;Europa (sin España);Total;1 de enero de 2020;950
52001 Melilla;Europa (sin España);Total;1 de enero de 2019;921
52001 Melilla;Europa (sin España);Total;1 de enero de 2018;913
52001 Melilla;Europa (sin España);Total;1 de enero de 2017;929
52001 Melilla;Europa (sin España);Total;1 de enero de 2016;987
52001 Melilla;Europa (sin España);Total;1 de enero de 2015;1.045
52001 Melilla;Europa (sin España);Hombres;1 de enero de 2020;480
52001 Melilla;Europa (sin España);Hombres;1 de enero de 2019;461
52001 Melilla;Europa (sin España);Hombres;1 de enero de 2018;466
52001 Melilla;Europa (sin España);Hombres;1 de enero de 2017;472
52001 Melilla;Europa (sin España);Hombres;1 de enero de 2016;499
52001 Melilla;Europa (sin España);Hombres;1 de enero de 2015;546
52001 Melilla;Europa (sin España);Mujeres;1 de enero de 2020;470
52001 Melilla;Europa (sin España);Mujeres;1 de enero de 2019;460
52001 Melilla;Europa (sin España);Mujeres;1 de enero de 2018;447
52001 Melilla;Europa (sin España);Mujeres;1 de enero de 2017;457
52001 Melilla;Europa (sin España);Mujeres;1 de enero de 2016;488
52001 Melilla;Europa (sin España);Mujeres;1 de enero de 2015;499
52001 Melilla;Alemania;Total;1 de enero de 2020;202
52001 Melilla;Alemania;Total;1 de enero de 2019;177
52001 Melilla;Alemania;Total;1 de enero de 2018;172
52001 Melilla;Alemania;Total;1 de enero de 2017;178
52001 Melilla;Alemania;Total;1 de enero de 2016;196
52001 Melilla;Alemania;Total;1 de enero de 2015;192
52001 Melilla;Alemania;Hombres;1 de enero de 2020;114
52001 Melilla;Alemania;Hombres;1 de enero de 2019;97
52001 Melilla;Alemania;Hombres;1 de enero de 2018;97
52001 Melilla;Alemania;Hombres;1 de enero de 2017;99
52001 Melilla;Alemania;Hombres;1 de enero de 2016;114
52001 Melilla;Alemania;Hombres;1 de enero de 2015;115
52001 Melilla;Alemania;Mujeres;1 de enero de 2020;88
52001 Melilla;Alemania;Mujeres;1 de enero de 2019;80
52001 Melilla;Alemania;Mujeres;1 de enero de 2018;75
52001 Melilla;Alemania;Mujeres;1 de enero de 2017;79
52001 Melilla;Alemania;Mujeres;1 de enero de 2016;82
52001 Melilla;Alemania;Mujeres;1 de enero de 2015;77
52001 Melilla;Bulgaria;Total;1 de enero de 2020;2
52001 Melilla;Bulgaria;Total;1 de enero de 2019;4
52001 Melilla;Bulgaria;Total;1 de enero de 2018;4
52001 Melilla;Bulgaria;Total;1 de enero de 2017;6
52001 Melilla;Bulgaria;Total;1 de enero de 2016;7
52001 Melilla;Bulgaria;Total;1 de enero de 2015;5
52001 Melilla;Bulgaria;Hombres;1 de enero de 2020;2
52001 Melilla;Bulgaria;Hombres;1 de enero de 2019;3
52001 Melilla;Bulgaria;Hombres;1 de enero de 2018;3
52001 Melilla;Bulgaria;Hombres;1 de enero de 2017;4
52001 Melilla;Bulgaria;Hombres;1 de enero de 2016;4
52001 Melilla;Bulgaria;Hombres;1 de enero de 2015;3
52001 Melilla;Bulgaria;Mujeres;1 de enero de 2020;0
52001 Melilla;Bulgaria;Mujeres;1 de enero de 2019;1
52001 Melilla;Bulgaria;Mujeres;1 de enero de 2018;1
52001 Melilla;Bulgaria;Mujeres;1 de enero de 2017;2
