Municipios;País de nacimiento;Sexo;Periodo;Total
30001 Abanilla;Extranjero;Total;1 de enero de 2020;926
30001 Abanilla;Extranjero;Total;1 de enero de 2019;885
30001 Abanilla;Extranjero;Total;1 de enero de 2018;804
30001 Abanilla;Extranjero;Total;1 de enero de 2017;844
30001 Abanilla;Extranjero;Total;1 de enero de 2016;845
30001 Abanilla;Extranjero;Total;1 de enero de 2015;931
30001 Abanilla;Extranjero;Hombres;1 de enero de 2020;464
30001 Abanilla;Extranjero;Hombres;1 de enero de 2019;463
30001 Abanilla;Extranjero;Hombres;1 de enero de 2018;418
30001 Abanilla;Extranjero;Hombres;1 de enero de 2017;443
30001 Abanilla;Extranjero;Hombres;1 de enero de 2016;442
30001 Abanilla;Extranjero;Hombres;1 de enero de 2015;477
30001 Abanilla;Extranjero;Mujeres;1 de enero de 2020;462
30001 Abanilla;Extranjero;Mujeres;1 de enero de 2019;422
30001 Abanilla;Extranjero;Mujeres;1 de enero de 2018;386
30001 Abanilla;Extranjero;Mujeres;1 de enero de 2017;401
30001 Abanilla;Extranjero;Mujeres;1 de enero de 2016;403
30001 Abanilla;Extranjero;Mujeres;1 de enero de 2015;454
30001 Abanilla;Europa (sin España);Total;1 de enero de 2020;631
30001 Abanilla;Europa (sin España);Total;1 de enero de 2019;608
30001 Abanilla;Europa (sin España);Total;1 de enero de 2018;566
30001 Abanilla;Europa (sin España);Total;1 de enero de 2017;596
30001 Abanilla;Europa (sin España);Total;1 de enero de 2016;615
30001 Abanilla;Europa (sin España);Total;1 de enero de 2015;705
30001 Abanilla;Europa (sin España);Hombres;1 de enero de 2020;312
30001 Abanilla;Europa (sin España);Hombres;1 de enero de 2019;304
30001 Abanilla;Europa (sin España);Hombres;1 de enero de 2018;285
30001 Abanilla;Europa (sin España);Hombres;1 de enero de 2017;306
30001 Abanilla;Europa (sin España);Hombres;1 de enero de 2016;311
30001 Abanilla;Europa (sin España);Hombres;1 de enero de 2015;345
30001 Abanilla;Europa (sin España);Mujeres;1 de enero de 2020;319
30001 Abanilla;Europa (sin España);Mujeres;1 de enero de 2019;304
30001 Abanilla;Europa (sin España);Mujeres;1 de enero de 2018;281
30001 Abanilla;Europa (sin España);Mujeres;1 de enero de 2017;290
30001 Abanilla;Europa (sin España);Mujeres;1 de enero de 2016;304
30001 Abanilla;Europa (sin España);Mujeres;1 de enero de 2015;360
30001 Abanilla;Alemania;Total;1 de enero de 2020;19
30001 Abanilla;Alemania;Total;1 de enero de 2019;19
30001 Abanilla;Alemania;Total;1 de enero de 2018;19
30001 Abanilla;Alemania;Total;1 de enero de 2017;17
30001 Abanilla;Alemania;Total;1 de enero de 2016;19
30001 Abanilla;Alemania;Total;1 de enero de 2015;20
30001 Abanilla;Alemania;Hombres;1 de enero de 2020;10
30001 Abanilla;Alemania;Hombres;1 de enero de 2019;10
30001 Abanilla;Alemania;Hombres;1 de enero de 2018;12
30001 Abanilla;Alemania;Hombres;1 de enero de 2017;11
30001 Abanilla;Alemania;Hombres;1 de enero de 2016;12
30001 Abanilla;Alemania;Hombres;1 de enero de 2015;11
30001 Abanilla;Alemania;Mujeres;1 de enero de 2020;9
30001 Abanilla;Alemania;Mujeres;1 de enero de 2019;9
30001 Abanilla;Alemania;Mujeres;1 de enero de 2018;7
30001 Abanilla;Alemania;Mujeres;1 de enero de 2017;6
30001 Abanilla;Alemania;Mujeres;1 de enero de 2016;7
30001 Abanilla;Alemania;Mujeres;1 de enero de 2015;9
30001 Abanilla;Bulgaria;Total;1 de enero de 2020;0
30001 Abanilla;Bulgaria;Total;1 de enero de 2019;0
30001 Abanilla;Bulgaria;Total;1 de enero de 2018;0
30001 Abanilla;Bulgaria;Total;1 de enero de 2017;1
30001 Abanilla;Bulgaria;Total;1 de enero de 2016;1
30001 Abanilla;Bulgaria;Total;1 de enero de 2015;2
30001 Abanilla;Bulgaria;Hombres;1 de enero de 2020;0
30001 Abanilla;Bulgaria;Hombres;1 de enero de 2019;0
30001 Abanilla;Bulgaria;Hombres;1 de enero de 2018;0
